Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
91,Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,1993,38,33,2888,32.1,0.19,0.25,0.19,0.00,0.00,0.06,0.00,0.19,0.25,0.44,0.19,0.44,0.22,0.22,0.21,0.43,0.22,0.21,0.43,0.22,0.43,Matches,9f1893b9
92,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30,1991,26,13,1257,14.0,0.21,0.07,0.21,0.00,0.00,0.21,0.00,0.21,0.07,0.29,0.21,0.29,0.33,0.33,0.08,0.41,0.33,0.08,0.41,0.33,0.41,Matches,b4cf5806
93,Florin Andone,ro ROU,FW,Cádiz,es La Liga,28,1993,5,1,176,2.0,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.10,0.20,0.13,0.08,0.21,0.13,0.21,Matches,dc008610
94,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,17,12,1046,11.6,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.05,0.03,0.02,0.06,0.03,0.06,Matches,6ea23758
95,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,30,1990,33,33,2752,30.6,0.07,0.03,0.07,0.00,0.00,0.39,0.03,0.07,0.03,0.10,0.07,0.10,0.05,0.05,0.05,0.10,0.05,0.05,0.10,0.05,0.10,Matches,ef9c1c95
96,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,9,2,353,3.9,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.02,0.02,0.00,0.02,Matches,3724baa1
97,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,1994,26,21,1817,20.2,0.20,0.10,0.20,0.00,0.00,0.25,0.05,0.20,0.10,0.30,0.20,0.30,0.19,0.17,0.07,0.24,0.19,0.07,0.26,0.17,0.24,Matches,e0b113a7
98,José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,23,12,1083,12.0,0.08,0.08,0.08,0.00,0.00,0.17,0.08,0.08,0.08,0.17,0.08,0.17,0.02,0.02,0.12,0.14,0.03,0.11,0.14,0.03,0.14,Matches,3024e383
99,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,29,26,2298,25.5,0.08,0.20,0.08,0.00,0.00,0.12,0.00,0.08,0.20,0.27,0.08,0.27,0.04,0.04,0.24,0.28,0.04,0.24,0.28,0.04,0.28,Matches,30941e96
100,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,1,0,25,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,39aa05a7
101,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,19,5,691,7.7,0.00,0.39,0.00,0.00,0.00,0.26,0.00,0.00,0.39,0.39,0.00,0.39,0.05,0.05,0.29,0.34,0.05,0.29,0.34,0.05,0.34,Matches,bbafc0c4
102,Janis Antiste,fr FRA,FWMF,Spezia,it Serie A,18,2002,18,9,796,8.8,0.11,0.00,0.11,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,0.15,0.15,0.03,0.18,0.14,0.03,0.18,0.14,0.18,Matches,38d9ce53
103,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,1996,29,29,2595,28.8,0.07,0.03,0.07,0.00,0.00,0.21,0.03,0.07,0.03,0.10,0.07,0.10,0.08,0.08,0.05,0.14,0.08,0.05,0.13,0.08,0.13,Matches,5e66fa06
104,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,2000,1,1,58,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4a5f2032
105,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,1990,36,34,2971,33.0,0.30,0.24,0.30,0.00,0.03,0.24,0.03,0.30,0.24,0.55,0.30,0.55,0.39,0.37,0.21,0.58,0.39,0.21,0.60,0.37,0.58,Matches,ac05f970
106,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,27,1994,25,12,1130,12.6,0.08,0.08,0.08,0.00,0.00,0.16,0.00,0.08,0.08,0.16,0.08,0.16,0.22,0.22,0.09,0.31,0.23,0.09,0.31,0.23,0.31,Matches,0a3f6cde
107,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,23,1998,36,29,2504,27.8,0.22,0.14,0.22,0.00,0.00,0.04,0.00,0.22,0.14,0.36,0.22,0.36,0.32,0.32,0.21,0.53,0.32,0.21,0.53,0.32,0.53,Matches,a5db0bec
108,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19,2002,35,11,1081,12.0,0.00,0.33,0.00,0.00,0.00,0.17,0.00,0.00,0.33,0.33,0.00,0.33,0.12,0.12,0.14,0.26,0.12,0.14,0.26,0.12,0.26,Matches,b94b8be1
109,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,1992,32,22,2099,23.3,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.00,0.01,Matches,feb5d3ab
110,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,1995,31,31,2663,29.6,0.00,0.17,0.00,0.00,0.00,0.44,0.00,0.00,0.17,0.17,0.00,0.17,0.06,0.06,0.09,0.15,0.06,0.09,0.15,0.06,0.15,Matches,58afe001
111,Mattia Aramu,it ITA,MFFW,Venezia,it Serie A,26,1995,32,25,2100,23.3,0.30,0.21,0.17,0.13,0.17,0.26,0.00,0.30,0.21,0.51,0.17,0.39,0.31,0.18,0.20,0.37,0.31,0.20,0.51,0.17,0.37,Matches,0847b5a5
112,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,26,16,1578,17.5,0.06,0.23,0.06,0.00,0.00,0.11,0.00,0.06,0.23,0.29,0.06,0.29,0.10,0.10,0.09,0.18,0.10,0.08,0.18,0.10,0.18,Matches,56413b1f
113,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,1991,34,29,2617,29.1,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,Matches,27a013f7
114,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,30,25,2272,25.2,0.16,0.00,0.16,0.00,0.00,0.24,0.00,0.16,0.00,0.16,0.16,0.16,0.07,0.07,0.05,0.12,0.07,0.05,0.12,0.07,0.12,Matches,2bef2bca
115,Cameron Archer,eng ENG,FWMF,Aston Villa,eng Premier League,19,2001,3,0,27,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.33,0.21,0.00,0.21,0.21,0.21,Matches,05e8ca6d
116,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2f965a72
117,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,1999,3,2,188,2.1,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,94e01ec6
118,Matias Arezo,uy URU,FWMF,Granada,es La Liga,18,2002,8,1,162,1.8,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.56,0.22,0.78,0.54,0.24,0.78,0.54,0.78,Matches,484ebdb0
119,Santiago Arias,co COL,DF,Granada,es La Liga,29,1992,12,4,440,4.9,0.20,0.00,0.20,0.00,0.00,0.20,0.00,0.20,0.00,0.20,0.20,0.20,0.12,0.12,0.10,0.22,0.13,0.09,0.23,0.13,0.23,Matches,fdd60087
120,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,1997,23,17,1413,15.7,0.13,0.13,0.13,0.00,0.00,0.06,0.00,0.13,0.13,0.25,0.13,0.25,0.31,0.31,0.13,0.45,0.31,0.13,0.44,0.31,0.44,Matches,68c720b5
121,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,29,1992,25,15,1473,16.4,0.12,0.00,0.12,0.00,0.00,0.06,0.00,0.12,0.00,0.12,0.12,0.12,0.20,0.20,0.12,0.32,0.20,0.12,0.32,0.20,0.32,Matches,97333cf5
122,Marko Arnautović,at AUT,FW,Bologna,it Serie A,32,1989,33,32,2694,29.9,0.47,0.03,0.40,0.07,0.10,0.20,0.00,0.47,0.03,0.50,0.40,0.43,0.50,0.43,0.14,0.57,0.50,0.14,0.65,0.43,0.57,Matches,00459419
123,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27,1994,34,34,2994,33.3,0.12,0.06,0.12,0.00,0.00,0.12,0.00,0.12,0.06,0.18,0.12,0.18,0.05,0.05,0.16,0.21,0.05,0.16,0.21,0.05,0.21,Matches,86e119e0
124,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,28d596a0
125,Tolgay Arslan,de GER,MF,Udinese,it Serie A,30,1990,30,22,1658,18.4,0.05,0.00,0.05,0.00,0.00,0.49,0.00,0.05,0.00,0.05,0.05,0.05,0.09,0.09,0.10,0.20,0.09,0.10,0.19,0.09,0.19,Matches,963a328b
126,Arthur,br BRA,FW,Fiorentina,it Serie A,23,1998,14,8,749,8.3,0.24,0.24,0.24,0.00,0.00,0.12,0.00,0.24,0.24,0.48,0.24,0.48,0.52,0.52,0.05,0.58,0.52,0.05,0.58,0.52,0.58,Matches,a820e429
127,Santiago Arzamendia,py PAR,MF,Cádiz,es La Liga,23,1998,14,5,469,5.2,0.19,0.00,0.19,0.00,0.00,0.38,0.00,0.19,0.00,0.19,0.19,0.19,0.06,0.06,0.02,0.08,0.06,0.01,0.07,0.06,0.07,Matches,759d8dd7
128,Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,26,1994,27,20,1608,17.9,0.17,0.22,0.17,0.00,0.00,0.06,0.00,0.17,0.22,0.39,0.17,0.39,0.25,0.25,0.13,0.38,0.25,0.13,0.38,0.25,0.38,Matches,13ddc856
129,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,24,1997,28,27,2375,26.4,0.00,0.04,0.00,0.00,0.00,0.19,0.00,0.00,0.04,0.04,0.00,0.04,0.03,0.03,0.02,0.06,0.03,0.02,0.06,0.03,0.06,Matches,e26fcca3
130,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6,6,540,6.0,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9f0ea33f
131,Alejandro Asensio,es ESP,MF,Rayo Vallecano,es La Liga,20,2000,2,0,12,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.27,0.31,0.58,0.27,0.58,Matches,b4c23f36
132,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,25,1996,31,19,1731,19.2,0.52,0.00,0.52,0.00,0.00,0.10,0.00,0.52,0.00,0.52,0.52,0.52,0.44,0.44,0.16,0.59,0.44,0.16,0.59,0.44,0.59,Matches,45af8a54
133,Harrison Ashby,sct SCO,DF,West Ham,eng Premier League,19,2001,1,0,7,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b391383a
134,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,20,2001,19,7,754,8.4,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.02,0.07,0.06,0.02,0.08,0.06,0.08,Matches,a69cc629
135,Fisnik Asllani,xk KVX,MFFW,Hoffenheim,de Bundesliga,18,2002,2,0,9,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,35f67a30
136,Kristjan Asllani,al ALB,MF,Empoli,it Serie A,19,2002,23,14,1353,15.0,0.07,0.07,0.07,0.00,0.00,0.13,0.00,0.07,0.07,0.13,0.07,0.13,0.05,0.05,0.07,0.11,0.05,0.06,0.11,0.05,0.11,Matches,0fdcef0e
137,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,33,1987,37,36,3087,34.3,0.52,0.15,0.44,0.09,0.15,0.26,0.00,0.52,0.15,0.67,0.44,0.58,0.43,0.31,0.20,0.51,0.43,0.20,0.63,0.32,0.51,Matches,7dcf86f6
138,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,21,2000,20,5,616,6.8,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29,0.12,0.12,0.21,0.32,0.12,0.20,0.32,0.12,0.32,Matches,b026bbf6
139,Simon Asta,de GER,DF,Greuther Fürth,de Bundesliga,20,2001,13,9,783,8.7,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.10,0.04,0.07,0.11,0.04,0.11,Matches,dfc85b89
140,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,25,1996,17,13,1140,12.7,0.16,0.08,0.16,0.00,0.00,0.31,0.00,0.16,0.08,0.24,0.16,0.24,0.09,0.09,0.13,0.21,0.08,0.13,0.22,0.08,0.22,Matches,6a827d8e
141,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,32,1989,14,12,1037,11.5,0.35,0.09,0.35,0.00,0.17,0.26,0.00,0.35,0.09,0.43,0.35,0.43,0.57,0.43,0.10,0.52,0.58,0.09,0.67,0.43,0.52,Matches,d5dd5f1f
142,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,32,1989,17,13,1082,12.0,0.92,0.08,0.92,0.00,0.00,0.00,0.00,0.91,0.08,1.00,0.91,1.00,0.58,0.58,0.08,0.67,0.58,0.09,0.67,0.58,0.67,Matches,d5dd5f1f
143,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,29,29,2560,28.4,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.00,0.01,Matches,649b01d8
144,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,26,1994,36,25,2395,26.6,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,0.02,0.02,0.07,0.09,0.02,0.07,0.09,0.02,0.09,Matches,3cd3b384
145,Jean-Kévin Augustin,fr FRA,FWMF,Nantes,fr Ligue 1,24,1997,7,0,84,0.9,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.00,0.22,0.18,0.00,0.18,0.18,0.18,Matches,97bfa797
146,Ludwig Augustinsson,se SWE,DF,Sevilla,es La Liga,27,1994,19,9,793,8.8,0.00,0.11,0.00,0.00,0.00,0.34,0.00,0.00,0.11,0.11,0.00,0.11,0.03,0.03,0.10,0.14,0.04,0.10,0.14,0.04,0.14,Matches,9fec8860
147,Serge Aurier,ci CIV,DF,Villarreal,es La Liga,28,1992,19,10,1010,11.2,0.00,0.09,0.00,0.00,0.00,0.36,0.00,0.00,0.09,0.09,0.00,0.09,0.09,0.09,0.10,0.18,0.09,0.10,0.18,0.09,0.18,Matches,5c2b4f07
148,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,27,1994,36,22,1870,20.8,0.29,0.05,0.24,0.05,0.05,0.43,0.05,0.29,0.05,0.34,0.24,0.29,0.23,0.22,0.09,0.31,0.23,0.09,0.31,0.22,0.31,Matches,253a06b9
149,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23,1997,31,29,2174,24.2,0.62,0.04,0.54,0.08,0.08,0.04,0.00,0.62,0.04,0.66,0.54,0.58,0.57,0.50,0.12,0.63,0.57,0.12,0.69,0.50,0.63,Matches,e5478b87
150,Ramzi Aya,it ITA,DF,Salernitana,it Serie A,30,1990,2,2,135,1.5,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,6a1f66a7
151,Jordan Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,29,1991,31,23,2019,22.4,0.13,0.13,0.13,0.00,0.00,0.09,0.00,0.13,0.13,0.27,0.13,0.27,0.18,0.18,0.16,0.34,0.18,0.16,0.34,0.18,0.34,Matches,da052c14
152,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,26,1994,23,14,1354,15.0,0.07,0.00,0.07,0.00,0.00,0.13,0.07,0.07,0.00,0.07,0.07,0.07,0.03,0.03,0.01,0.03,0.03,0.00,0.03,0.03,0.03,Matches,2200181e
153,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,29,1991,26,26,2272,25.2,0.08,0.08,0.08,0.00,0.00,0.16,0.04,0.08,0.08,0.16,0.08,0.16,0.06,0.06,0.08,0.14,0.06,0.08,0.14,0.06,0.14,Matches,420d7c7d
154,Karim Azamoum,fr FRA,DF,Troyes,fr Ligue 1,31,1990,7,4,388,4.3,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.05,0.00,0.05,0.05,0.05,Matches,eaf71a5e
155,Sardar Azmoun,ir IRN,FWMF,Leverkusen,de Bundesliga,26,1995,9,4,359,4.0,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.25,0.25,0.50,0.25,0.50,0.68,0.68,0.17,0.85,0.68,0.17,0.85,0.68,0.85,Matches,10549b49
156,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31,1989,27,24,2070,23.0,0.04,0.09,0.04,0.00,0.00,0.13,0.00,0.04,0.09,0.13,0.04,0.13,0.05,0.05,0.09,0.14,0.05,0.09,0.14,0.05,0.14,Matches,53cad200
157,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,25,1996,26,23,1934,21.5,0.05,0.00,0.05,0.00,0.00,0.42,0.00,0.05,0.00,0.05,0.05,0.05,0.07,0.07,0.04,0.12,0.07,0.04,0.12,0.07,0.12,Matches,bfd381b3
158,Carlos Bacca,co COL,FW,Granada,es La Liga,34,1986,17,4,513,5.7,0.00,0.18,0.00,0.00,0.00,0.53,0.00,0.00,0.18,0.18,0.00,0.18,0.18,0.18,0.21,0.39,0.18,0.20,0.38,0.18,0.38,Matches,09a9e921
159,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12,12,1080,12.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1c0eea98
160,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,21,2000,14,11,985,10.9,0.00,0.09,0.00,0.00,0.00,0.28,0.09,0.00,0.09,0.09,0.00,0.09,0.05,0.05,0.06,0.10,0.04,0.06,0.10,0.04,0.10,Matches,114bbdee
161,Milan Badelj,hr CRO,MF,Genoa,it Serie A,32,1989,34,34,2844,31.6,0.03,0.00,0.03,0.00,0.00,0.13,0.00,0.03,0.00,0.03,0.03,0.03,0.04,0.04,0.08,0.12,0.04,0.08,0.12,0.04,0.12,Matches,e8c930bb
162,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24,24,2160,24.0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e4346678
163,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,20,2001,24,21,1838,20.4,0.05,0.00,0.05,0.00,0.00,0.20,0.00,0.05,0.00,0.05,0.05,0.05,0.09,0.09,0.02,0.12,0.09,0.03,0.12,0.09,0.12,Matches,06df8256
164,Youssouph Badji,sn SEN,FWMF,Brest,fr Ligue 1,19,2001,9,1,135,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.07,0.20,0.13,0.05,0.18,0.13,0.18,Matches,6a2b9aee
165,Miguel Baeza,es ESP,DF,Celta Vigo,es La Liga,21,2000,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a98f3cbf
166,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,2004,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ad263695
167,Issa Bah,lu LUX,FW,Venezia,it Serie A,19,2002,1,0,9,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,956a78ea
168,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,29,1992,29,12,1099,12.2,0.25,0.08,0.25,0.00,0.00,0.00,0.00,0.25,0.08,0.33,0.25,0.33,0.33,0.33,0.08,0.41,0.33,0.08,0.41,0.33,0.41,Matches,5046b7d4
169,Leon Bailey,jm JAM,MFFW,Aston Villa,eng Premier League,23,1997,18,7,761,8.5,0.12,0.24,0.12,0.00,0.00,0.35,0.00,0.12,0.24,0.35,0.12,0.35,0.21,0.21,0.08,0.29,0.22,0.08,0.30,0.22,0.30,Matches,3a233281
170,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27,1994,4,3,217,2.4,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a1232f4e
171,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,28,1993,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5065d67d
172,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,7,4,510,5.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,be13e5a8
173,Nedim Bajrami,al ALB,MFFW,Empoli,it Serie A,22,1999,35,23,2054,22.8,0.26,0.22,0.13,0.13,0.13,0.13,0.00,0.26,0.22,0.48,0.13,0.35,0.31,0.21,0.25,0.45,0.31,0.24,0.55,0.20,0.45,Matches,f42d6c13
174,Cédric Bakambu,cd COD,FWMF,Marseille,fr Ligue 1,30,1991,12,5,356,4.0,1.00,0.00,1.00,0.00,0.00,0.25,0.00,1.01,0.00,1.01,1.01,1.01,0.70,0.70,0.23,0.93,0.71,0.22,0.93,0.71,0.93,Matches,0af4dcf0
175,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2002,4,4,307,3.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ee95585f
176,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,26,1994,14,5,501,5.6,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.11,0.06,0.06,0.12,0.06,0.12,Matches,59bf127b
177,Mitchel Bakker,nl NED,DF,Leverkusen,de Bundesliga,21,2000,25,19,1822,20.2,0.05,0.20,0.05,0.00,0.00,0.30,0.00,0.05,0.20,0.25,0.05,0.25,0.03,0.03,0.10,0.13,0.03,0.10,0.14,0.03,0.14,Matches,a8567629
178,Ridle Baku,de GER,DFMF,Wolfsburg,de Bundesliga,23,1998,34,28,2446,27.2,0.11,0.18,0.11,0.00,0.00,0.15,0.00,0.11,0.18,0.29,0.11,0.29,0.08,0.08,0.18,0.26,0.08,0.18,0.26,0.08,0.26,Matches,442b56fa
179,Dilane Bakwa,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2002,5,0,43,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.40,0.31,0.00,0.31,0.31,0.31,Matches,2b5a35e5
180,Tommaso Baldanzi,it ITA,FW,Empoli,it Serie A,18,2003,1,0,18,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches,102e2599
181,Alejandro Balde,es ESP,DFFW,Barcelona,es La Liga,17,2003,5,2,188,2.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.02,0.03,0.05,0.02,0.05,Matches,5ccc9672
182,Ibrahima Baldé,fr FRA,FWMF,Lens,fr Ligue 1,18,2003,4,0,58,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,a30cb0d4
183,Keita Baldé,sn SEN,FWMF,Cagliari,it Serie A,26,1995,26,14,1229,13.7,0.22,0.07,0.22,0.00,0.00,0.15,0.00,0.22,0.07,0.29,0.22,0.29,0.28,0.28,0.05,0.34,0.29,0.05,0.34,0.29,0.34,Matches,509a4ccb
184,Gareth Bale,wls WAL,FW,Real Madrid,es La Liga,32,1989,5,4,280,3.1,0.32,0.00,0.32,0.00,0.00,0.65,0.00,0.32,0.00,0.32,0.32,0.32,0.42,0.42,0.03,0.48,0.43,0.04,0.47,0.43,0.47,Matches,a58bb1e1
185,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,33,1988,26,23,2027,22.5,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.04,0.01,0.02,0.04,0.01,0.04,Matches,1fe67e86
186,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,22,1999,17,10,950,10.6,0.00,0.00,0.00,0.00,0.00,0.38,0.09,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,Matches,7c3ed041
