Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,-9999
73,Rafał Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,33,1987,34.0,1.65,0.15,0.03,0.06,0.06,1.54,0.31,-0.05,-0.05,6.85,17.0,40.2,28.0,4.26,41.9,36.5,8.44,63.1,47.7,15.6,0.71,4.5,1.50,1.50,16.7,Matches,17376543
74,Alfred Gomis,sn SEN,GK,Rennes,fr Ligue 1,27,1993,25.0,1.00,0.16,0.00,0.16,0.04,0.96,0.33,-0.00,0.00,5.20,12.2,42.8,25.1,4.76,32.1,31.4,6.04,68.2,49.5,14.5,0.68,4.7,1.24,1.24,16.1,Matches,cecbce23
75,Jens Grahl,de GER,GK,Eint Frankfurt,de Bundesliga,32,1988,1.0,2.00,0.00,0.00,0.00,0.00,0.70,0.16,-1.30,-1.35,1.00,4.00,25.0,18.0,5.00,0.0,21.9,11.0,36.4,36.8,10.0,1.00,10.0,0.00,0.00,10.8,Matches,f26dee6b
76,Ivo Grbić,hr CRO,GK,Lille,fr Ligue 1,25,1996,21.0,1.33,0.10,0.05,0.24,0.05,1.10,0.25,-0.18,-0.18,4.62,12.7,36.3,20.0,4.14,41.5,35.2,7.90,56.0,43.5,14.8,0.76,5.2,0.62,0.62,11.7,Matches,3f034750
77,Etienne Green,eng ENG,GK,Saint-Étienne,fr Ligue 1,21,2000,13.3,2.03,0.08,0.08,0.08,0.15,1.80,0.34,-0.08,-0.08,4.81,12.5,38.6,21.8,4.81,34.8,34.4,8.27,59.1,46.6,13.0,0.45,3.5,1.05,1.05,14.1,Matches,667b65da
78,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,24,1997,1.0,3.00,0.00,1.00,0.00,0.00,1.50,0.24,-1.50,-1.53,1.00,10.0,10.0,21.0,6.00,33.3,34.1,10.0,30.0,32.7,13.0,0.00,0.0,1.00,1.00,12.5,Matches,30061f53
79,Lennart Grill,de GER,GK,Leverkusen,de Bundesliga,22,1999,1.0,2.00,0.00,0.00,0.00,1.00,1.80,0.31,0.80,+0.84,5.00,17.0,29.4,37.0,7.00,29.7,28.5,10.0,60.0,43.8,12.0,0.00,0.0,0.00,0.00,12.0,Matches,37998008
80,Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,34,1987,29.5,1.12,0.10,0.03,0.34,0.00,0.98,0.23,-0.14,-0.14,3.56,9.56,37.2,26.4,6.17,26.6,28.3,6.81,37.3,31.5,13.1,0.58,4.4,1.22,1.22,16.3,Matches,ab13a5aa
81,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,31,1990,33.0,1.03,0.09,0.00,0.18,0.03,0.97,0.27,-0.03,-0.03,3.55,9.39,37.7,29.6,4.91,24.9,29.5,6.00,33.8,33.1,10.6,0.42,4.0,1.85,1.85,20.6,Matches,bcb2ccd8
82,Angus Gunn,eng ENG,GK,Norwich City,eng Premier League,25,1996,9.0,2.44,0.22,0.00,0.22,0.00,2.14,0.30,-0.30,-0.30,5.00,14.3,34.9,24.3,5.22,43.4,34.5,9.56,39.5,34.5,19.4,0.33,1.7,1.56,1.56,17.3,Matches,e082af5b
83,Samir Handanović,si SVN,GK,Inter,it Serie A,37,1984,37.0,0.81,0.11,0.00,0.08,0.03,0.90,0.24,0.11,+0.11,3.76,8.14,46.2,30.2,4.76,24.3,28.1,3.84,20.4,26.5,10.6,0.41,3.8,0.27,0.27,11.2,Matches,74419746
84,Wayne Hennessey,wls WAL,GK,Burnley,eng Premier League,34,1987,2.0,3.00,0.00,0.00,0.50,0.50,1.60,0.26,-0.90,-0.91,13.5,31.5,42.9,28.5,3.50,77.2,50.8,10.5,90.5,63.6,18.5,0.00,0.0,2.00,2.00,17.0,Matches,76eca7e2
